แหล่ง,รหัส,ชื่อสินค้า,ขนาดบรรจุ/หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย
Freshket,10406,"สันในหมู","1 กก./แพ็ค",15,157
Freshket,31112,"อกไก่ติดหนัง","1 กก./แพ็ค",17,85
Freshket,40444,"สันในหมู","5 กก./แพ็ค",9,142.8
Freshket,10426,"สะโพกไก่","1 กก./แพ็ค",7,104
Freshket,39024,"ข้าว กข43 ตราฉัตรไลท์ 6 X","5 กก./กระสอบ",1,197
Freshket,15873,"น้ามันรําข้าว ตราคิง","5 ลิตร/แกลลอน",3,336.45
Freshket,32397,"สันในหมู (แช่แข็ง)","1 กก./แพ็ค",1,105
Freshket,44297,"ทูน่าสเต็ก ในน้าเกลือ ตราซีเล็คฟิตต์","1885 กรัม/กระ๋ปอง",3,289.72
Freshket,33919,"หน่อไม้ฝรัง","1 กก./แพ็ค",4,160
Freshket,10033,"นมยูเอชที รสจืด ตราโฟร์โมสต์ 12 x","1 ลิตร/กล่อง",1,53.25
Freshket,33990,"หอมหัวใหญ่","10 กก./แพ็ค",2,29
Freshket,12878,"กุ้งแห้งจืด","500 กรัม/แพ็ค",1,1028.04
Freshket,12363,"เต้าหู้ขาวก้อนแข็ง 220-250 กรัม/ก้อน","ก้อน",6,15.89
Freshket,12925,"กุนเชียงหมู ตราเจ๊หงษ์","1 กก./แพ็ค",2,238.32
Freshket,35170,"ควินัวขาว ออแกนิค ตรากรีนไล์ฟ 1 กิโลกรัม","ชิน",1,395
Freshket,47629,"ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 3 x","30 ฟอง/มัด",1,4.37
Freshket,34095,"พริกยักษ์ คละสี","1 กก./แพ็ค",3,120
Freshket,41480,"ไข่ไก่ เบอร์ 4 ไม่มีฝา 3 x","30 ฟอง/มัด",1,4.23
Freshket,20407,"เครืองแกงกะหรีสูตรเผ็ดกลาง ตราเอสแอนด์บี","1 กก./กล่อง",1,332.71
Freshket,33523,"แครอท","10 กก./แพ็ค",2,16
Freshket,10408,"ซีโครงหมูหันชิน","1 กก./แพ็ค",2,159
